,tconst,movie,link,runtime,genres,day,month,year,dist,gross_1995,gross_1996,gross_1997,gross_1998,gross_1999,gross_2000,gross_2001,gross_2002,gross_2003,gross_2004,gross_2005,gross_2006,gross_2007,gross_2008,gross_2009,gross_2010,gross_2011,gross_2012,gross_2013,gross_2014,gross_2015,gross_2016,gross_2017,gross_2018,gross_2019,gross_2020,tickets_1995,tickets_1996,tickets_1997,tickets_1998,tickets_1999,tickets_2000,tickets_2001,tickets_2002,tickets_2003,tickets_2004,tickets_2005,tickets_2006,tickets_2007,tickets_2008,tickets_2009,tickets_2010,tickets_2011,tickets_2012,tickets_2013,tickets_2014,tickets_2015,tickets_2016,tickets_2017,tickets_2018,tickets_2019,tickets_2020
0,tt0017162,Moana,/movie/Moana-(Documentary)-(1926),77,Documentary,07,01,1926,Paramount Pictures,,,,,,,,,,,,,,,,,,,,,,2993.0,,,,,,,,,,,,,,,,,,,,,,,,,,346.0,,,,
1,tt0017136,Metropolis,/movie/Metropolis-(Germany)-(1927),153,"Drama,Sci-Fi",13,03,1927,Paramount Pictures,,,,,,,,583182.0,67240.0,,,,,,,,556412.0,,,,,,,,,,,,,,,,,100375.0,11150.0,,,,,,,,70165.0,,,,,,,,,
2,tt0028950,La Grande Illusion,/movie/Grande-Illusion-La,113,"Drama,War",12,09,1938,Rialto Pictures,,,,,316050.0,26929.0,,,,,,,,,,,,71641.0,,,,,,,,,,,,,62214.0,4996.0,,,,,,,,,,,,9000.0,,,,,,,,
3,tt0034465,Arabian Nights,/movie/Arabian-Nights,86,"Action,Adventure,Comedy",25,12,1942,Universal,,,,,,,,,,,,,,,,,,,,,,3719.0,,,,,,,,,,,,,,,,,,,,,,,,,,429.0,,,,
4,tt0037638,Detour,/movie/Detour-(1945),68,"Crime,Drama,Film-Noir",30,11,1945,Producers Releasi…,,,,,,,,,,,,,,,,,,,,,,,,14632.0,1540.0,,,,,,,,,,,,,,,,,,,,,,,,,1606.0,168.0,
5,tt0038650,It's a Wonderful Life,/movie/Its-a-Wonderful-Life,130,"Drama,Family,Fantasy",20,12,1946,,,,,,,,,,,,,,,,,,,,,,,,,,,6644000.0,,,,,,,,,,,,,,,,,,,,,,,,,,725327.0
6,tt0039631,Monsieur Verdoux,/movie/Monsieur-Verdoux,124,"Comedy,Crime,Drama",11,04,1947,The Film Desk,,,,,,,,,,,,,,41009.0,8264.0,6393.0,6581.0,1218.0,1171.0,,,,,,,,,,,,,,,,,,,,,5711.0,1101.0,810.0,829.0,153.0,144.0,,,,,,,
7,tt0038348,Beauty and the Beast,/movie/Beauty-and-the-Beast-(1946),96,"Drama,Fantasy,Romance",23,12,1947,Lopert Pictures C…,,,,,,,,,,,,,,,,,,,,,,21711.0,,,,,,,,,,,,,,,,,,,,,,,,,,2509.0,,,,
8,tt0035753,Le Corbeau,/movie/Corbeau-Le-(France),92,"Crime,Drama,Mystery",23,02,1948,Westport Internat…,,,,,,,,,,,,,,,,,,,,,,,,36089.0,,,,,,,,,,,,,,,,,,,,,,,,,,3961.0,,
9,tt0040481,It Always Rains on Sunday,/movie/It-Always-Rains-on-Sunday,92,"Crime,Drama",13,02,1949,Rialto Pictures,,,,,,,,,,,,,,7176.0,,,,,,,,,,,,,,,,,,,,,,,,,,999.0,,,,,,,,,,,,
