,id,movie,link,date,dist,gross_1995,gross_1996,gross_1997,gross_1998,gross_1999,gross_2000,gross_2001,gross_2002,gross_2003,gross_2004,gross_2005,gross_2006,gross_2007,gross_2008,gross_2009,gross_2010,gross_2011,gross_2012,gross_2013,gross_2014,gross_2015,gross_2016,gross_2017,gross_2018,gross_2019,gross_2020,tickets_1995,tickets_1996,tickets_1997,tickets_1998,tickets_1999,tickets_2000,tickets_2001,tickets_2002,tickets_2003,tickets_2004,tickets_2005,tickets_2006,tickets_2007,tickets_2008,tickets_2009,tickets_2010,tickets_2011,tickets_2012,tickets_2013,tickets_2014,tickets_2015,tickets_2016,tickets_2017,tickets_2018,tickets_2019,tickets_2020
11499,1ce88cd3a75300f44f56511e82ab4b12,Moana,/movie/Moana-(Documentary)-(1926),1926/01/07,Paramount Pictures,,,,,,,,,,,,,,,,,,,,,,2993,,,,,,,,,,,,,,,,,,,,,,,,,,346,,,,
2950,767146afaa42d85e4265992656f9d079,Metropolis,/movie/Metropolis-(Germany)-(1927),1927/03/13,Paramount Pictures,,,,,,,,583182,67240,,,,,,,,556412,,,,,,,,,,,,,,,,,100375,11150,,,,,,,,70165,,,,,,,,,
1572,3d54ed959d3c0916442ecc7a27361f18,La Grande Illusion,/movie/Grande-Illusion-La,1938/09/12,Rialto Pictures,,,,,316050,26929,,,,,,,,,,,,71641,,,,,,,,,,,,,62214,4996,,,,,,,,,,,,9000,,,,,,,,
11491,4cf8e15b66f14b1571979dc69089867d,Arabian Nights,/movie/Arabian-Nights,1942/12/25,Universal,,,,,,,,,,,,,,,,,,,,,,3719,,,,,,,,,,,,,,,,,,,,,,,,,,429,,,,
12662,020037917f805b5e80b9852a6272eb93,Detour,/movie/Detour-(1945),1945/11/30,Producers Releasi…,,,,,,,,,,,,,,,,,,,,,,,,14632,1540,,,,,,,,,,,,,,,,,,,,,,,,,1606,168,
13375,337264dd60ad0694eeb3c7614cd17155,It's a Wonderful Life,/movie/Its-a-Wonderful-Life,1946/12/20,,,,,,,,,,,,,,,,,,,,,,,,,,,6644000,,,,,,,,,,,,,,,,,,,,,,,,,,725327
6379,87daecf7ba90a4d074bf8b92b39cafda,Monsieur Verdoux,/movie/Monsieur-Verdoux,1947/04/11,The Film Desk,,,,,,,,,,,,,,41009,8264,6393,6581,1218,1171,,,,,,,,,,,,,,,,,,,,,5711,1101,810,829,153,144,,,,,,,
11367,1bcf37553a2f68d6a660b90ca41d9afc,Beauty and the Beast,/movie/Beauty-and-the-Beast-(1946),1947/12/23,Lopert Pictures C…,,,,,,,,,,,,,,,,,,,,,,21711,,,,,,,,,,,,,,,,,,,,,,,,,,2509,,,,
12601,a1c49219cc6f2a0e43cf212987f545c1,Le Corbeau,/movie/Corbeau-Le-(France),1948/02/23,Westport Internat…,,,,,,,,,,,,,,,,,,,,,,,,36089,,,,,,,,,,,,,,,,,,,,,,,,,,3961,,
6497,893a9591333c1341fce315acd0590dbf,It Always Rains on Sunday,/movie/It-Always-Rains-on-Sunday,1949/02/13,Rialto Pictures,,,,,,,,,,,,,,7176,,,,,,,,,,,,,,,,,,,,,,,,,,999,,,,,,,,,,,,
3048,5146ffac741085f351d6a5b403620c6a,Singin' in the Rain,/movie/Singin-in-the-Rain,1952/04/10,MGM,,,,,,,,75665,,,,,,,,,,,,,,,,,,,,,,,,,,13023,,,,,,,,,,,,,,,,,,
8661,80f98d30d6a9cf616654cc000c1b5c51,The Snows of Kilimanjaro,/movie/Snows-of-Kilimanjaro-The,1952/09/17,,,,,,,,,,,,,,,,,,,66597,,,,,,,,,,,,,,,,,,,,,,,,,,8366,,,,,,,,
3580,ce2b2ec14138c8896e79e1744eeff83c,From Here to Eternity,/movie/From-Here-to-Eternity,1953/08/05,,,,,,,,,,18176,,,,,,,,,,,,,,,,,,,,,,,,,,3014,,,,,,,,,,,,,,,,,
13283,c275ec668a8a4393ccf8cf70d0bd0b32,Olivia,/movie/Olivia-(France),1954/04/08,Arthur Davis Asso…,,,,,,,,,,,,,,,,,,,,,,,,,9934,,,,,,,,,,,,,,,,,,,,,,,,,,1084,
1698,08659aed5aee0988b8e9a07d185f707d,Dial M for Murder (1954),/movie/Dial-M-for-Murder-(1954),1954/05/29,,,,,,12562,,,,,,,,,,,,,,,,,,,,,,,,,,2472,,,,,,,,,,,,,,,,,,,,,
7031,aa8954ba6783d70b4a9e74d5594034ee,Mr. Hulot's Holiday,/movie/Vacances-de-M-Hulot-Les,1954/06/16,Janus Films,,,,,,,,,,,,,,,16336,45746,,,,,,,,,,,,,,,,,,,,,,,,,2178,5797,,,,,,,,,,
3124,be029ec9801a3733b2c327efd4396e2b,Ikiru,/movie/Ikiru,1956/03/25,,,,,,,,,9739,45501,,,,,,,,,,,,,,,,,,,,,,,,,1676,7545,,,,,,,,,,,,,,,,,
13228,f4c6bc2d8993256bf0253ce2efdda0c3,The White Sheik,/movie/Sceicco-bianco-Lo-(Italy),1956/04/25,Janus Films,,,,,,,,,,,,,,,,,,,,,,,,,22009,28841,,,,,,,,,,,,,,,,,,,,,,,,,2402,3148
2997,5ee89683d4d46d38aac72de62d70e551,The Seven Samurai,/movie/Shichinin-no-samurai,1956/11/19,Cowboy Pictures,,,,,,,,183443,88293,,,,,,,,,,,,,,,,,,,,,,,,,31573,14642,,,,,,,,,,,,,,,,,
588,b78ea6a43d228c57966dc316217a861f,Giant,/movie/Giant-(1956),1956/11/24,,,93472,,,,,,,,,,,,,,,,,,,,,,,,,,21147,,,,,,,,,,,,,,,,,,,,,,,,
5695,35ecf83241779d90d0acfea271a22754,Red Balloon,/movie/Ballon-rouge-Le,1957/03/11,Janus Films,,,,,,,,,,,,,69139,161668,,,,,,,,,,,,,,,,,,,,,,,,,10049,22516,,,,,,,,,,,,
7532,35ffb9e3e3c817490db6056b122eff91,On the Bowery,/movie/On-the-Bowery,1957/03/18,,,,,,,,,,,,,,,,,41802,,,,,,,,,,,,,,,,,,,,,,,,,,5298,,,,,,,,,,
1141,fb2924a7f0fed596fc98528b50a3efce,Touch of Evil,/movie/Touch-of-Evil,1958/05/21,October Films,,,,2237659,,,,,,,,,,,,,,,,,,,,,,,,,,477112,,,,,,,,,,,,,,,,,,,,,,
2595,b8df980a05b7ff00b2936428d06e2afa,Bob le flambeur,/movie/Bob-le-flambeur,1959/01/01,Triumph Releasing,,,,,,,41010,,,,,,,,,,,,,,,,,15586,,,,,,,,,7245,,,,,,,,,,,,,,,,,1710,,
13244,71330bd0dc5705d49b0924d272f020c1,The Cranes are Flying,/movie/Letyat-zhuravli-(Russia),1960/03/21,Warner Bros.,,,,,,,,,,,,,,,,,,,,,,,,,17923,,,,,,,,,,,,,,,,,,,,,,,,,,1956,
7596,f119723dc4a5d26af556f3b1ffbd9ced,Where the Hot Wind Blows!,/movie/legge-La,1960/11/11,,,,,,,,,,,,,,,,,17351,,,,,,,,,,,,,,,,,,,,,,,,,,2199,,,,,,,,,,
4433,59c74f8ee182a6a02b365f60a2f16302,Elevator to the Gallows,/movie/Ascenseur-pour-l-echafaud-(France),1961/06/10,Rialto Pictures,,,,,,,,,,,263404,,,,,,,,,,,110193,,,,,,,,,,,,,,,41092,,,,,,,,,,,12739,,,,
3481,65bf48877a1e6eed83fce820cd4783e4,Bon Voyage!,/movie/Bon-Voyage-(1962),1962/05/17,Walt Disney,,,,,,,,,148727,,,,,,,,,,,,,,,,,,,,,,,,,,24664,,,,,,,,,,,,,,,,,
3538,c4f459291f9c6a53c47e9d2412ff6950,Eyes Without a Face,/movie/Yeux-sans-visage-Les-(France),1962/12/31,,,,,,,,,,52709,,,,,,,,,,,,,,,,,,,,,,,,,,8741,,,,,,,,,,,,,,,,,
1648,fca122be6dc68af7d2cb845d189c96ec,8½,/movie/8-1-2,1963/06/25,Kino International,,,,,50690,,,,,,,,,,,,,,,,,,,,,,,,,,9978,,,,,,,,,,,,,,,,,,,,,
2614,6de4f4befcf6247c61ab4fe5316355b9,Bay of Angels,/movie/Baie-des-anges-La,1963/11/23,Pathe Contemporar…,,,,,,,29855,55985,,,,,,,,,,,,,,,,,,,,,,,,,5274,9635,,,,,,,,,,,,,,,,,,
2134,4a422a1dcf6f7429779166522ab1f76d,Billy Liar,/movie/Billy-Liar,1963/12/16,Rialto Pictures,,,,,,35609,,,,,,,,,,,,,,,,,,,,,,,,,,6606,,,,,,,,,,,,,,,,,,,,
5642,c2b778cb635ba45178fe78d1fc3eb6db,Becket,/movie/Becket,1964/03/11,Paramount Pictures,,,,,,,,,,,,,149327,,,,,,,,,,,,,,,,,,,,,,,,,,21704,,,,,,,,,,,,,
10590,795f902cd8974e23f15666ed9cd1d249,Marnie,/movie/Marnie,1964/07/22,,,,,,,,,,,,,,,,,,,,,,44261,,,,,,,,,,,,,,,,,,,,,,,,,,5250,,,,,
1973,6ad7bcf2ad39dc13d83f50bc91636cb0,A Hard Day's Night,/movie/Hard-Days-Night-A,1964/08/11,Universal,,,,,,593645,383853,,,,,,,,,,,,,503557,,,,,,,,,,,,110138,67818,,,,,,,,,,,,,61634,,,,,,
838,effe64e27e797b32a16d95579e18d0a1,Contempt,/movie/Mepris-Le,1964/12/18,Rialto Pictures,,,528428,,,,,,,,,,,,,,,,,,,,,,,,,,115125,,,,,,,,,,,,,,,,,,,,,,,
289,794fdc0cfb72df87222f472cc2687b27,Doctor Zhivago,/movie/Doctor-Zhivago,1965/12/22,MGM,175917,,,,,,,,,,,,,,,,,,,,,,,,,,40440,,,,,,,,,,,,,,,,,,,,,,,,,
